시도명,시군구명,지반침하지역상세정보,위도,경도,발생일자,발생규모폭,발생규모연장,발생규모깊이,발생지역지질종류명,최초발생원인,피해사망자수,피해부상자수,피해차량대수,복구상태명,복구방법,복구비용,복구완료일자,데이터기준일자,주소,location,lat,lon
경기도,고양시 덕양구,행신동 1121,0.0,0.0,20190722,1.0,1.0,0.5,,맨홀 파손,0,0,0,복구완료,맨홀 주변 포장후 복구완료,0,2019-07-24,0001-01-01,경기도 고양시 덕양구 행신동 1121,"행신동, 행신1동, 덕양구, 고양시, 경기도, 10528, 대한민국",37.6194469,126.8372169
경기도,고양시 덕양구,화전동 274-3,0.0,0.0,20190822,1.0,1.0,0.5,,도로다짐 불량,0,0,0,복구완료,도로포장 복구완료,0,2019-08-24,0001-01-01,경기도 고양시 덕양구 화전동 274-3,"화전동, 덕양구, 고양시, 경기도, 대한민국",37.603131,126.8841703
경기도,고양시 덕양구,976,37.6324,126.833,20220803,1.0,1.0,1.5,,,0,0,0,복구완료,되메우기,0,2022-08-03,0001-01-01,경기도 고양시 덕양구 976,"덕양구, 고양시, 경기도, 대한민국",37.6369,126.8322
경기도,고양시 덕양구,298-3,0.0,0.0,20190212,1.0,1.0,3.0,,하수관 손상,0,0,0,복구완료,우수관로 교체 및 도로 포장 복구 완료,0,2019-06-30,2019-11-22,경기도 고양시 덕양구 298-3,"덕양구, 고양시, 경기도, 대한민국",37.6369,126.8322
경기도,고양시 덕양구,594-12,0.0,0.0,20190605,1.0,1.0,2.0,,하수관 손상,0,0,0,복구완료,이음부 몰탈마감 및 포장 복구 완료,0,2019-06-10,2019-11-22,경기도 고양시 덕양구 594-12,"덕양구, 고양시, 경기도, 대한민국",37.6369,126.8322
경기도,고양시 덕양구,910-55,37.6878,126.865,20230531,1.5,1.0,1.0,,소화전 누수,0,0,0,복구완료,소방서 복구 예정,0,2023-06-01,0001-01-01,경기도 고양시 덕양구 910-55,"덕양구, 고양시, 경기도, 대한민국",37.6369,126.8322
경기도,고양시 덕양구,동산동 368-2,0.0,0.0,20190702,1.0,1.0,0.5,,맨홀 시공 불량,0,1,1,복구완료,맨홀 주변 포장후 복구완료,0,2019-07-04,0001-01-01,경기도 고양시 덕양구 동산동 368-2,"동산동, 창릉동, 덕양구, 고양시, 경기도, 10596, 대한민국",37.6416587,126.9003307
경기도,고양시 일산동구,1288-1,0.0,0.0,20190523,1.0,1.0,1.0,,하수관 손상,0,0,0,복구완료,이음부 몰탈마감 및 포장 복구 완료,0,2019-06-13,2019-11-22,경기도 고양시 일산동구 1288-1,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
경기도,고양시 일산동구,1510,37.6557,126.769,20220816,1.5,1.5,1.5,,다짐(되메우기) 불량,0,0,0,복구완료,긴급보수공사 실시,0,2022-08-16,0001-01-01,경기도 고양시 일산동구 1510,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
경기도,고양시 일산동구,1297,37.644,126.788,20220609,3.0,2.0,2.0,,"신축공사현장 3차 침하 1차(2022.5.31.), 2차(2022.6.6.)",0,0,0,임시복구,되메우기,0,2022-06-09,0001-01-01,경기도 고양시 일산동구 1297,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
경기도,고양시 일산동구,1297,37.6441,126.788,20220606,5.0,1.5,2.0,,1차 사고로 인한 지반 약화 추정 *1차사고(2022.5.31.),0,0,0,임시복구,긴급 되메우기 완료,0,2022-06-06,0001-01-01,경기도 고양시 일산동구 1297,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
경기도,고양시 일산동구,1297,37.644,126.788,20220531,3.0,10.0,2.0,,굴착공사 중 지반침하,0,0,0,임시복구,되메우기,0,2022-05-31,0001-01-01,경기도 고양시 일산동구 1297,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
경기도,고양시 일산동구,1297,37.644,126.788,20221005,2.0,5.0,1.0,,굴착공사 부실,0,0,0,복구완료,되메우기,0,2022-10-05,0001-01-01,경기도 고양시 일산동구 1297,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
경기도,고양시 일산동구,백석동 1460,0.0,0.0,20190703,1.0,1.0,0.5,,하수관 손상으로 인하여 침하,0,0,0,복구완료,이음부 몰탈마감 및 포장 복구 완료,0,2019-07-05,0001-01-01,경기도 고양시 일산동구 백석동 1460,"백석동, 백석1동, 일산동구, 고양시, 경기도, 10447, 대한민국",37.6436734,126.7878528
경기도,고양시 일산동구,802-1,37.6516,126.779,20211230,3.0,7.0,0.5,,발생 원인 파악 중,0,0,0,복구중,계획 중,0,2021-12-31,0001-01-01,경기도 고양시 일산동구 802-1,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
경기도,고양시 일산동구,백석동 1532,37.6403,126.789,20200824,1.0,1.0,1.0,기타,"집중호우로 인한 지반약화, 장기 지반침하로 인한 땅꺼짐",0,0,0,복구완료,"되메우기, 다짐시공 후 포장",0,2020-08-30,0001-01-01,경기도 고양시 일산동구 백석동 1532,"백석동, 백석1동, 일산동구, 고양시, 경기도, 10447, 대한민국",37.6436734,126.7878528
경기도,고양시 일산서구,151,0.0,0.0,20180903,3.0,2.0,0.5,,하수관 손상,0,0,0,복구완료,굴착부분 되메우기 재시공 및 포장 복구 완료,0,2018-09-28,2019-11-22,경기도 고양시 일산서구 151,"일산서구, 고양시, 경기도, 대한민국",37.6779933,126.7453605
경기도,고양시 일산서구,2340,0.0,0.0,20180816,2.5,2.0,1.5,,하수관 손상,0,0,0,복구완료,굴착부분 되메우기 재시공 및 포장 복구 완료,0,2018-08-20,2019-11-22,경기도 고양시 일산서구 2340,"일산서구, 고양시, 경기도, 대한민국",37.6779933,126.7453605
경기도,고양시 일산서구,1398,0.0,0.0,20190611,1.0,1.0,0.5,,하수관 손상,0,0,0,복구완료,이음부 몰탈마감 및 포장 복구 완료,0,2019-06-20,2019-11-22,경기도 고양시 일산서구 1398,"일산서구, 고양시, 경기도, 대한민국",37.6779933,126.7453605
경기도,고양시 일산서구,274-25,0.0,0.0,20190523,1.0,1.0,0.5,,하수관 손상,0,0,0,복구완료,이음부 몰탈마감 및 포장 복구 완료,0,2019-05-30,2019-11-22,경기도 고양시 일산서구 274-25,"일산서구, 고양시, 경기도, 대한민국",37.6779933,126.7453605
경기도,고양시 일산서구,2428,37.6739,126.744,20240723,2.0,3.0,1.0,,빗물받이 연결관 파손,0,0,0,복구완료,연결관 교체,0,2024-07-24,0001-01-01,경기도 고양시 일산서구 2428,"일산서구, 고양시, 경기도, 대한민국",37.6779933,126.7453605
경기도,고양시 일산서구,일산동 1025-13,37.684,126.769,20200814,2.0,2.0,0.1,기타,호우로 인한 지반약화 및 인근  공사차량으로통행으로 인한,0,0,0,복구완료,포장복구,0,2020-08-30,0001-01-01,경기도 고양시 일산서구 일산동 1025-13,"일산동, 일산1동, 일산서구, 고양시, 경기도, 10352, 대한민국",37.6844028,126.7690149
경기도,고양시 일산서구,대화동 2513,37.6735,126.741,20200716,15.0,5.0,0.2,기타,집중호우로 인한 지반약화,0,0,0,복구완료,포장복구,0,2020-07-18,0001-01-01,경기도 고양시 일산서구 대화동 2513,"대화동, 일산서구, 고양시, 경기도, 대한민국",37.6777329,126.7502918
경기도,고양시 일산서구,일산동 1979,0.0,0.0,20190926,1.0,1.0,0.3,,하수관 파손으로 인한 토사 유실,0,0,0,복구완료,파손된 하수관 주변 굴착하여 하수관 보수 후 아스콘 포장,0,2019-09-28,0001-01-01,경기도 고양시 일산서구 일산동 1979,"일산동, 일산1동, 일산서구, 고양시, 경기도, 10352, 대한민국",37.6844028,126.7690149
경기도,고양시 일산서구,2607-4,37.6656,126.748,20230531,4.0,6.0,0.25,,GTX 공사 현장으로 원인 파악 중,0,0,0,복구완료,개착 복구 예정,0,2023-07-31,0001-01-01,경기도 고양시 일산서구 2607-4,"일산서구, 고양시, 경기도, 대한민국",37.6779933,126.7453605
경기도,고양시 일산서구,14,0.0,0.0,20190514,1.0,1.0,0.5,,하수관 손상,0,0,0,복구완료,이음부 몰탈마감 및 포장 복구 완료,0,2019-05-16,2019-11-22,경기도 고양시 일산서구 14,"일산서구, 고양시, 경기도, 대한민국",37.6779933,126.7453605
경기도,과천시,605-1,37.4455,126.996,20200812,2.0,3.0,0.3,기타,과천동 605-1 일원 (남태령 지하차도 상부도로 상하행선)  도로하부 매설된 하천박스 누수로 인한 토사 유출 추정,0,0,0,복구완료,절삭 포장 시공,0,2020-08-12,0001-01-01,경기도 과천시 605-1,"과천시, 경기도, 대한민국",37.4289037,126.9881655
경기도,과천시,1-9,0.0,0.0,20200630,1.5,1.5,2.0,,하수관 파손으로 인한 토사 유출로 지반침하 발생,0,0,0,복구완료,굴착부분 되메우기 재시공 및 포장 복구 완료,0,2020-07-02,0001-01-01,경기도 과천시 1-9,"과천시, 경기도, 대한민국",37.4289037,126.9881655
경기도,과천시,1023-27,0.0,0.0,20200506,1.5,1.5,1.2,,하수관 파손으로 인한 토사 유출로 지반침하 발생,0,1,0,복구완료,하수관 보수 및 소파 보수 조치,0,2020-05-08,0001-01-01,경기도 과천시 1023-27,"과천시, 경기도, 대한민국",37.4289037,126.9881655
경기도,과천시,539-3,0.0,0.0,20200303,1.5,1.5,1.2,,하단부 하천박스 누수,0,0,0,복구완료,긴급보수공사 실시 및 차량보상,0,2020-03-05,0001-01-01,경기도 과천시 539-3,"과천시, 경기도, 대한민국",37.4289037,126.9881655
경기도,과천시,,37.4469,126.995,20210629,1.0,1.0,1.5,,,0,0,0,복구완료,포장복구 완료,0,2021-06-29,0001-01-01,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",46.3144754,11.0480288
경기도,과천시,115-1,37.4249,127.008,20220808,4.0,9.0,1.5,기타,하수관로 교체작업 다짐불량으로 인하여 침하,0,0,0,복구완료,긴급보수공사 실시,3000000,2022-08-10,0001-01-01,경기도 과천시 115-1,"과천시, 경기도, 대한민국",37.4289037,126.9881655
경기도,과천시,661,37.423,126.989,20200810,1.2,2.0,0.3,기타,하수관 파손으로 인한 토사유출 추정,0,0,0,복구완료,기층채움 및 포장,0,2020-08-10,0001-01-01,경기도 과천시 661,"과천시, 경기도, 대한민국",37.4289037,126.9881655
경기도,과천시,21-13,37.4153,126.985,20200925,1.5,3.0,1.5,기타,하수관 파손으로 인한 토사유출,0,0,0,복구완료,"토사 채움 및 다짐, 포장",0,2020-09-25,0001-01-01,경기도 과천시 21-13,"과천시, 경기도, 대한민국",37.4289037,126.9881655
경기도,광주시,27-15,0.0,0.0,20181015,0.5,60.0,0.1,,하수관 손상,0,0,0,복구완료,"폐하수관 되메우기, 굴착부분 다짐 및 주변도로 재포장",0,2018-11-05,2018-11-05,경기도 광주시 27-15,"광주시, 경기도, 대한민국",37.4290844,127.255189
경기도,구리시,584-3,0.0,0.0,20200616,0.2,0.2,1.5,,하수박스 내 상수관로 관통,0,0,0,복구완료,내부 되채움 및 포장면 복구,0,2020-06-18,0001-01-01,경기도 구리시 584-3,"구리시, 경기도, 대한민국",37.5935948,127.1297917
경기도,군포시,1189,0.0,0.0,20180125,1.0,1.0,0.3,,하수관로 교체작업 다짐불량으로 인하여 침하,0,0,1,복구완료,긴급보수공사 실시 및 차량보상,0,2018-02-01,2019-11-21,경기도 군포시 1189,"군포시, 경기도, 대한민국",37.3615229,126.9349025
경기도,군포시,994-2,37.347,126.954,20230520,2.2,2.2,2.9,기타,하수관로 손상,0,0,0,복구완료,하수관로 손상으로 사고지점 굴착하여 손상된 하수관로 제거 후 신설관로 시공하여 지반 및 도로복구,0,2023-05-25,0001-01-01,경기도 군포시 994-2,"군포시, 경기도, 대한민국",37.3615229,126.9349025
경기도,군포시,1157,37.376,126.939,20240801,0.8,10.0,0.5,기타,도로 인접 아파트 옹벽 배면부 뒷채움재 침하로 인한 공동 발생,0,0,0,복구완료,되메우기 및 다짐,0,2024-08-16,0001-01-01,경기도 군포시 1157,"군포시, 경기도, 대한민국",37.3615229,126.9349025
경기도,김포시,389-15,37.6327,126.711,20210922,1.2,2.8,0.24,기타,2019년 2월부터 2020년 8월 까지의 시공과정(웰크론한텍)에서 발생되어진 공동으로 중단되어진 공사가 개시되면서 토사가 가라앉으며 발생됨,0,0,0,복구완료,침하구간 아스콘 철거 및 수직그라우팅 보강 후 재포장,15000000,2021-09-23,0001-01-01,경기도 김포시 389-15,"김포시, 경기도, 대한민국",37.6155683,126.7157798
경기도,김포시,389-15,37.6323,126.711,20211104,1.5,2.0,0.25,기타,2019년 2월부터 2020년 8월 까지의 시공과정(웰크론한텍)에서 발생되어진 공동으로 중단되어진 공사가 개시되면서 토사가 가라앉으며 발생됨,0,0,0,복구완료,"침하구간 아스콘 철거, 토사+골재 채움 및 다짐 후 아스콘포장",10000000,2021-11-05,0001-01-01,경기도 김포시 389-15,"김포시, 경기도, 대한민국",37.6155683,126.7157798
경기도,김포시,389-15,37.6319,126.711,20210904,8.0,12.0,2.0,기타,2019년 2월부터 2020년 8월까지 진행되었던 공사과정 중 본관건물 하부 토사가 증축공사 구간으로 슬라이딩 유출되면서 공동이 형성되어 있었던 것으로 추정됨,0,0,0,복구완료,동공 내 레미콘 타설 후 JSP보강 실시,85000000,2021-10-15,0001-01-01,경기도 김포시 389-15,"김포시, 경기도, 대한민국",37.6155683,126.7157798
경기도,남양주시,용정리 788-5,37.6573,127.181,20240723,1.0,1.0,0.5,호상편마암,하수관거(우수 및 오수) 파손(5~7m)으로 인한 싱크홀 발생,0,0,1,복구완료,"자갈, 흙 메움 및 시트 덮기(하수관 손상 복구 필요",3000000,2024-09-09,0001-01-01,경기도 남양주시 용정리 788-5,"용정리, 남양주시, 경기도, 12045, 대한민국",37.6741662,127.1821908
경기도,남양주시,374-10,0.0,0.0,20180516,1.0,2.0,1.0,,우수관 파손,0,0,0,복구완료,굴착부분 되메우기 재시공 및 포장 복구 완료,0,2018-05-25,2018-05-25,경기도 남양주시 374-10,"남양주시, 경기도, 대한민국",37.6359398,127.2165051
경기도,남양주시,내각리 440,37.6983,127.166,20240716,17.0,6.0,0.1,,오수 우수 암거 굴착공사,0,0,0,복구완료,아스콘 복구,0,2024-07-16,0001-01-01,경기도 남양주시 내각리 440,"내각리, 남양주시, 경기도, 12071, 대한민국",37.708846,127.1594875
경기도,남양주시,560-4,37.6605,127.237,20240419,0.7,0.5,1.0,,노후 수로관(파형강관 2열) 매설지점으로 도로 지반침하 발생,0,0,0,복구완료,수로관 교체 및 아스콘 복구,3000000,2024-04-20,0001-01-01,경기도 남양주시 560-4,"남양주시, 경기도, 대한민국",37.6359398,127.2165051
경기도,남양주시,458-26,0.0,0.0,20190627,1.5,2.5,1.5,,노후로 인한 집수정 손상,0,1,0,복구완료,"이중벽관 접합, 되메우기 및 포장 복구 완료",0,2019-06-29,2019-11-19,경기도 남양주시 458-26,"남양주시, 경기도, 대한민국",37.6359398,127.2165051
경기도,남양주시,559-4,37.6595,127.238,20240419,0.3,0.3,2.7,,노후 수로관(파형강관 2열)매설지점으로 도로 지반침하 발생,0,0,0,복구완료,수로관 보수 및 아스콘 복구,12000000,2024-04-20,0001-01-01,경기도 남양주시 559-4,"남양주시, 경기도, 대한민국",37.6359398,127.2165051
경기도,남양주시,435-8,0.0,0.0,20180618,0.0,0.0,1.0,,우수관 파손,0,0,0,복구완료,굴착부분 되메우기 재시공 및 포장 복구 완료,0,2018-06-18,0001-01-01,경기도 남양주시 435-8,"남양주시, 경기도, 대한민국",37.6359398,127.2165051
경기도,동두천시,121-1,0.0,0.0,20180619,0.7,0.8,1.0,,포장다짐 불량,0,0,0,복구완료,모래충진복구완료,0,2018-06-20,0001-01-01,경기도 동두천시 121-1,"동두천시, 경기도, 대한민국",37.9030856,127.0605175
경기도,부천시,100-29,37.4801,126.811,20230520,1.0,1.0,2.0,,하수관로 파손으로 인한 침하 발생,0,0,0,복구완료,하수관로(흄관) 교체 및 포장 복구,0,2023-05-23,0001-01-01,경기도 부천시 100-29,"부천시, 경기도, 대한민국",37.5014422,126.7660139
경기도,부천시,중동 1058-4,0.0,0.0,20190813,1.0,1.2,0.7,,굴착결과 특이사항 없었음. 건물 앞 기초부분 밑으로 유실된것으로 추정,0,0,0,복구완료,유실 구간 모래채움 및 다짐공사 실시,0,2019-08-15,0001-01-01,경기도 부천시 중동 1058-4,"중동, 원미구, 부천시, 경기도, 14584, 대한민국",37.4991027,126.7676559
경기도,부천시,중동 1150,0.0,0.0,20191226,2.5,2.5,1.5,,상수도 누수로 인한 토사 유실,0,0,0,복구완료,수도시설과에서 누수복구 작업 실시,0,2019-12-28,0001-01-01,경기도 부천시 중동 1150,"중동, 원미구, 부천시, 경기도, 14584, 대한민국",37.4991027,126.7676559
경기도,부천시,괴안동 167,0.0,0.0,20200414,0.5,20.0,0.1,,대규모 건축공사장 터파기 시 CIP를 설치하지 않는 일부구간에 지반침하,0,0,0,복구완료,건축시공사에서 복구 예정,0,2020-04-16,0001-01-01,경기도 부천시 괴안동 167,"괴안동, 소사구, 부천시, 경기도, 14683, 대한민국",37.4813456,126.8104404
경기도,부천시,원미동 181-3,0.0,0.0,20180313,1.0,1.0,0.5,,하수관 노후,0,0,0,복구완료,하수관 접합부 보수 후 포장 복구 완료,0,2018-03-15,2019-11-20,경기도 부천시 원미동 181-3,"원미동, 원미구, 부천시, 경기도, 14565, 대한민국",37.4926826,126.7914425
경기도,부천시,189-96,0.0,0.0,20180315,1.0,1.0,0.5,,하수관 노후,0,0,0,복구완료,하수관 보수 후 포장 복구 완료,0,2018-03-16,2019-11-20,경기도 부천시 189-96,"부천시, 경기도, 대한민국",37.5014422,126.7660139
경기도,부천시,196,0.0,0.0,20180402,1.0,1.0,0.3,,기타,0,0,0,복구완료,지반침하 부분 소파보수 조치,0,2018-06-28,2019-11-20,경기도 부천시 196,"부천시, 경기도, 대한민국",37.5014422,126.7660139
경기도,부천시,380-11,0.0,0.0,20180611,0.0,0.0,0.5,,하수맨홀 노후,0,0,0,복구완료,하수맨홀 보수 후 포장 복구 완료,0,2018-06-11,0001-01-01,경기도 부천시 380-11,"부천시, 경기도, 대한민국",37.5014422,126.7660139
경기도,부천시,108,0.0,0.0,20190605,1.0,3.0,0.07,,하수맨홀 연결접합 불량으로 인한 토사유실,0,0,0,복구완료,되메우기 후 포장복구 완료,0,2019-07-01,2019-11-20,경기도 부천시 108,"부천시, 경기도, 대한민국",37.5014422,126.7660139
경기도,부천시,790,37.4694,126.824,20210711,2.5,2.5,2.5,,하수관로 파손,0,0,0,복구완료,파손부위 보수 및 흙 되메우기,0,2021-08-18,0001-01-01,경기도 부천시 790,"부천시, 경기도, 대한민국",37.5014422,126.7660139
